Year,Year_treat,Block,Plot,Weed,Grass_cover
2007,2006,1,SE,No removal,1.222223
2007,2006,2,SW,No removal,0.777778
2007,2006,3,NE,No removal,0.916666
2007,2006,4,NE,No removal,0.277778
2007,2006,5,SE,No removal,0.722222
2007,2006,6,NE,No removal,0.75
2007,2006,7,SE,No removal,0.611111
2007,2006,8,SW,No removal,0.444444
2007,2006,1,NW,No removal,0.472222
2007,2006,2,NW,No removal,0.444444
2007,2006,3,SW,No removal,0
2007,2006,4,SE,No removal,0.583333
2007,2006,5,SW,No removal,0.916666
2007,2006,6,SW,No removal,0.861111
2007,2006,7,NE,No removal,0.5
2007,2006,8,NW,No removal,0.361111
2007,2006,1,SW,Removal,0.027778
2007,2006,2,NE,Removal,0.111111
2007,2006,3,SE,Removal,0.027778
2007,2006,4,SW,Removal,0
2007,2006,5,NW,Removal,0.111111
2007,2006,6,SE,Removal,0.194444
2007,2006,7,SW,Removal,0.111111
2007,2006,8,SE,Removal,0.5
2007,2006,1,NE,Removal,0
2007,2006,2,SE,Removal,0.055556
2007,2006,3,NW,Removal,0.027778
2007,2006,4,NW,Removal,0.027778
2007,2006,5,NE,Removal,0.25
2007,2006,6,NW,Removal,0.083333
2007,2006,7,NW,Removal,0.111111
2007,2006,8,NE,Removal,0.472222
