herbivory,plant_id,density_2006,density_2007,survival_t+1
0,15,20,3,0
0,7,26,5,0
0,16,17,1,0
0,22,26,5,0
0,23,26,5,0
0,12,20,3,0
0,13,20,3,0
0,14,20,3,0
0,26,20,3,0
0,27,20,3,0
0,11,20,3,0
0,28,20,3,0
0,29,20,3,0
0,4,17,1,0
0,18,17,1,0
0,25,26,5,0
0,1,17,1,0
0,21,26,5,0
0,2,17,1,0
0,17,17,1,0
0,19,17,1,0
0,20,17,1,0
0,3,17,1,0
0,6,26,5,0
0,8,26,5,0
0,10,26,5,0
0,24,26,5,0
0,30,20,3,0
0,9,26,5,0
0,5,17,1,0
1,14,46,2,0
1,6,24,5,0
1,30,46,2,0
1,9,24,5,0
1,2,23,3,0
1,5,23,3,0
1,11,46,2,0
1,26,46,2,0
1,21,24,5,0
1,23,24,5,0
1,27,46,2,0
1,28,46,2,0
1,29,46,2,0
1,1,23,3,0
1,3,23,3,0
1,16,23,3,0
1,8,24,5,0
1,10,24,5,0
1,24,24,5,0
1,25,24,5,0
1,12,46,2,0
1,13,46,2,0
1,15,46,2,0
1,18,23,3,0
1,20,23,3,0
1,4,23,3,0
1,7,24,5,0
1,22,24,5,0
1,17,23,3,0
1,19,23,3,0
1,14,31,3,0
1,25,36,3,0
1,13,31,3,0
1,18,37,6,0
1,15,31,3,0
1,22,36,3,0
1,29,31,3,0
1,8,36,3,0
1,10,36,3,0
1,11,31,3,0
1,26,31,3,0
1,27,31,3,0
1,2,37,6,0
1,7,36,3,0
1,9,36,3,0
1,21,36,3,0
1,23,36,3,0
1,30,31,3,0
1,1,37,6,0
1,19,37,6,0
1,24,36,3,0
1,4,37,6,0
1,5,37,6,0
1,6,36,3,0
1,12,31,3,0
1,3,37,6,0
1,28,31,3,0
1,17,37,6,0
1,16,37,6,0
1,20,37,6,1
1,3,34,32,0
1,13,30,31,0
1,7,52,38,0
1,25,52,38,0
1,28,30,31,0
1,16,34,32,0
1,26,30,31,0
1,29,30,31,0
1,30,30,31,1
1,9,52,38,1
1,18,34,32,1
1,21,52,38,1
1,12,30,31,1
1,15,30,31,1
1,24,52,38,1
1,27,30,31,1
1,10,52,38,1
1,17,34,32,1
1,11,30,31,1
1,14,30,31,1
1,23,52,38,1
1,2,34,32,1
1,19,34,32,1
1,5,34,32,1
1,8,52,38,1
1,1,34,32,1
1,6,52,38,1
1,20,34,32,1
1,22,52,38,1
1,4,34,32,1
1,5,43,11,0
1,16,43,11,0
1,8,37,10,0
1,9,37,10,0
1,6,37,10,0
1,22,37,10,0
1,12,63,7,0
1,3,43,11,0
1,7,37,10,0
1,29,63,7,0
1,30,63,7,0
1,14,63,7,0
1,26,63,7,0
1,24,37,10,0
1,10,37,10,0
1,21,37,10,0
1,25,37,10,0
1,15,63,7,0
1,1,43,11,0
1,4,43,11,0
1,18,43,11,0
1,23,37,10,0
1,17,43,11,0
1,28,63,7,0
1,13,63,7,0
1,20,43,11,0
1,11,63,7,0
1,27,63,7,0
1,2,43,11,0
1,19,43,11,1
