Rain_Jan_April,Growth_rate,Percent_damaged,Difference_mean_temperature
12.68,-0.13,0.08,0.98
12.68,-0.14,0,0.98
12.68,-0.56,0,0.98
12.68,0.3,0,0.98
12.68,-0.11,0,0.98
12.68,-0.36,0.47,0.98
12.68,-1.78,0.69,0.98
12.68,-0.51,0.34,0.98
12.68,-1.23,0.6,0.98
3.9,0,0,0.6
3.9,0.12,0,0.6
3.9,0.14,0.06,0.6
3.9,-0.77,0.31,0.6
3.9,0.35,0,0.6
3.9,0.49,0,0.6
3.9,1.41,0,0.6
3.9,-0.08,0.52,0.6
3.9,0.8,0.2,0.6
13.57,-0.02,0,-1.49
13.57,-0.18,0.01,-1.49
13.57,0.81,0.06,-1.49
13.57,1.01,0,-1.49
13.57,0.27,0,-1.49
13.57,0.97,0,-1.49
13.57,0.6,0,-1.49
13.57,0.28,0.18,-1.49
13.57,-0.72,0.18,-1.49
6.38,0.29,0,-2.14
6.38,0.48,0,-2.14
6.38,-0.16,0,-2.14
6.38,-0.02,0,-2.14
6.38,0.32,0,-2.14
6.38,0.64,0,-2.14
6.38,-0.2,0.03,-2.14
6.38,0.69,0,-2.14
6.38,0.56,0,-2.14
10.38,0.73,0,-0.79
10.38,0.11,0,-0.79
10.38,0.28,0,-0.79
10.38,0.06,0,-0.79
10.38,0.02,0,-0.79
10.38,0.85,0,-0.79
10.38,0.39,0.03,-0.79
10.38,0.69,0,-0.79
10.38,0.12,0,-0.79
4.06,0.41,0,0.05
4.06,-0.1,0,0.05
4.06,-0.04,0,0.05
4.06,0.07,0,0.05
4.06,-0.43,0,0.05
4.06,-0.44,0,0.05
4.06,0.61,0.4,0.05
4.06,0.14,0,0.05
4.06,0.21,0,0.05
6.57,0.04,0,1.8
6.57,0.07,0,1.8
6.57,0.07,0,1.8
6.57,0.21,0,1.8
6.57,-0.73,0,1.8
6.57,-0.58,0,1.8
6.57,-0.34,0,1.8
6.57,-0.08,0,1.8
6.57,0.19,0,1.8
10.91,-0.03,0,1.54
10.91,-0.11,0,1.54
10.91,-0.03,0,1.54
10.91,-0.39,0,1.54
10.91,-0.24,0,1.54
10.91,-0.22,0,1.54
10.91,-1.01,0,1.54
10.91,-0.13,0.03,1.54
10.91,-1.13,0.17,1.54
8.65,-0.76,0,1.23
8.65,-0.54,0,1.23
8.65,-0.58,0,1.23
8.65,-0.3,0,1.23
8.65,-0.24,0,1.23
8.65,-1.13,0,1.23
8.65,-0.67,0,1.23
8.65,-0.34,0,1.23
8.65,0.68,0,1.23
